n,koff
324.,2.8395061728395063
325.,2.830769230769231
326.,2.8220858895705523
327.,2.8134556574923546
328.,2.8048780487804876
329.,2.7963525835866263
330.,2.787878787878788
331.,2.7794561933534743
332.,2.7710843373493974
333.,2.7627627627627627
334.,2.754491017964072
335.,2.746268656716418
336.,2.738095238095238
337.,2.7299703264094957
338.,2.7218934911242605
339.,2.713864306784661
340.,2.7058823529411766
341.,2.697947214076246
342.,2.690058479532164
343.,2.682215743440233
344.,2.6744186046511627
345.,2.6666666666666665
346.,2.658959537572254
347.,2.6512968299711814
348.,2.6436781609195403
349.,2.6361031518624642
350.,2.6285714285714286
351.,2.6210826210826212
352.,2.6136363636363638
353.,2.6062322946175636
354.,2.598870056497175
355.,2.591549295774648
356.,2.5842696629213484
357.,2.57703081232493
358.,2.569832402234637
359.,2.562674094707521
360.,2.5555555555555554
361.,2.548476454293629
362.,2.541436464088398
363.,2.534435261707989
364.,2.5274725274725274
365.,2.5205479452054793
366.,2.5136612021857925
367.,2.5068119891008176
368.,2.5
369.,2.4932249322493223
370.,2.4864864864864864
371.,2.4797843665768196
372.,2.4731182795698925
373.,2.4664879356568363
374.,2.4598930481283423
375.,2.453333333333333
376.,2.4468085106382977
377.,2.440318302387268
378.,2.433862433862434
379.,2.4274406332453826
380.,2.4210526315789473
381.,2.4146981627296586
382.,2.4083769633507854
383.,2.402088772845953
384.,2.3958333333333335
385.,2.3896103896103895
386.,2.383419689119171
387.,2.3772609819121446
388.,2.3711340206185567
389.,2.365038560411311
390.,2.358974358974359
391.,2.3529411764705883
392.,2.3469387755102042
393.,2.340966921119593
394.,2.33502538071066
395.,2.329113924050633
396.,2.323232323232323
397.,2.3173803526448364
398.,2.3115577889447234
399.,2.305764411027569
400.,2.3
401.,2.29426433915212
402.,2.288557213930348
403.,2.2828784119106698
404.,2.277227722772277
405.,2.271604938271605
406.,2.2660098522167487
407.,2.2604422604422605
408.,2.2549019607843137
409.,2.249388753056235
410.,2.2439024390243905
411.,2.238442822384428
412.,2.233009708737864
413.,2.2276029055690074
414.,2.2222222222222223
415.,2.216867469879518
416.,2.2115384615384617
417.,2.2062350119904077
418.,2.200956937799043
419.,2.195704057279236
420.,2.1904761904761907
421.,2.1852731591448933
422.,2.1800947867298577
