c,<n>/kpt
1.301,0.0798110545365315
1.311,0.08037520691557845
1.321,0.08093866797377611
1.331,0.08150143898107892
1.341,0.08206352120433266
1.351,0.08262491590728394
1.361,0.0831856243505898
1.371,0.08374564779182703
1.381,0.0843049874855015
1.391,0.08486364468305778
1.401,0.08542162063288825
1.4109999999999998,0.08597891658034243
1.4209999999999998,0.08653553376773643
1.4309999999999998,0.08709147343436185
1.4409999999999998,0.08764673681649533
1.4509999999999998,0.08820132514740744
1.4609999999999999,0.08875523965737196
1.4709999999999999,0.08930848157367492
1.4809999999999999,0.08986105212062374
1.4909999999999999,0.09041295251955611
1.501,0.09096418398884915
1.511,0.09151474774392827
1.521,0.0920646449972762
1.531,0.0926138769584417
1.541,0.09316244483404872
1.551,0.09371034982780496
1.561,0.09425759314051083
1.571,0.09480417597006818
1.581,0.09535009951148907
1.591,0.09589536495690433
1.601,0.09643997349557255
1.611,0.09698392631388839
1.621,0.09752722459539136
1.631,0.09806986952077446
1.641,0.09861186226789256
1.651,0.09915320401177105
1.661,0.09969389592461436
1.6709999999999998,0.10023393917581427
1.6809999999999998,0.10077333493195849
1.6909999999999998,0.101312084356839
1.7009999999999998,0.10185018861146039
1.7109999999999999,0.10238764885404823
1.7209999999999999,0.1029244662400574
1.7309999999999999,0.1034606419221804
1.7409999999999999,0.10399617705035541
1.751,0.1045310727717748
1.761,0.10506533023089314
1.771,0.10559895056943533
1.781,0.10613193492640484
1.791,0.10666428443809182
1.801,0.10719600023808104
1.811,0.10772708345726012
1.821,0.10825753522382736
1.831,0.10878735666329986
1.841,0.10931654889852147
1.851,0.10984511304967065
1.861,0.11037305023426842
1.871,0.11090036156718629
1.881,0.111427048160654
1.891,0.11195311112426737
1.901,0.11247855156499616
1.911,0.11300337058719177
1.9209999999999998,0.11352756929259497
1.9309999999999998,0.11405114878034374
1.9409999999999998,0.11457411014698068
1.9509999999999998,0.11509645448646098
1.9609999999999999,0.11561818289015977
1.9709999999999999,0.11613929644687997
1.9809999999999999,0.11665979624285966
1.9909999999999999,0.11717968336177977
2.001,0.11769895888477148
2.011,0.11821762389042385
2.021,0.11873567945479113
2.031,0.1192531266514004
2.041,0.11976996655125871
2.0509999999999997,0.12028620022286081
2.061,0.12080182873219622
2.0709999999999997,0.12131685314275671
2.081,0.12183127451554358
2.0909999999999997,0.12234509390907494
2.101,0.122858312379393
2.1109999999999998,0.12337093098007128
2.121,0.12388295076222185
2.131,0.12439437277450235
2.141,0.1249051980631235
2.151,0.12541542767185584
2.161,0.12592506264203715
2.171,0.12643410401257932
2.181,0.12694255281997555
2.191,0.12745041009830727
2.201,0.1279576768792512
2.211,0.12846435419208643
2.221,0.12897044306370128
2.231,0.12947594451860017
2.241,0.12998085957891076
2.251,0.13048518926439048
2.261,0.1309889345924338
2.271,0.13149209657807887
2.281,0.13199467623401423
2.291,0.13249667457058584
2.301,0.13299809259580372
2.311,0.13349893131534865
2.3209999999999997,0.13399919173257893
2.331,0.13449887484853731
2.3409999999999997,0.13499798166195723
2.351,0.13549651316926978
2.3609999999999998,0.13599447036461032
2.371,0.13649185423982502
2.381,0.1369886657844773
2.391,0.13748490598585478
2.401,0.13798057582897535
2.411,0.13847567629659407
2.421,0.13897020836920956
2.431,0.13946417302507028
2.441,0.13995757124018116
2.451,0.14045040398831016
