n,c
298.,197.01661129568106
301.,201.5041736227045
304.,206.06711409395973
307.,210.70657672849916
310.,215.42372881355934
313.,220.2197614991482
316.,225.0958904109589
319.,230.05335628227195
322.,235.09342560553634
325.,240.2173913043478
328.,245.4265734265734
331.,250.72231985940246
334.,256.1060070671378
337.,261.5790408525755
340.,267.14285714285717
343.,272.7989228007181
346.,278.54873646209387
349.,284.3938294010889
352.,290.33576642335765
355.,296.3761467889908
358.,302.51660516605165
361.,308.7588126159555
364.,315.1044776119403
367.,321.55534709193245
370.,328.1132075471698
373.,334.77988614800756
376.,341.55725190839695
379.,348.44721689059503
382.,355.4517374517375
385.,362.5728155339806
388.,369.8125
391.,377.1728880157171
394.,384.65612648221344
397.,392.26441351888667
400.,400.
403.,407.8651911468813
406.,415.86234817813767
409.,423.9938900203666
412.,432.26229508196724
415.,440.6701030927835
418.,449.21991701244815
421.,457.91440501043843
424.,466.7563025210084
427.,475.74841437632136
430.,484.8936170212766
433.,494.1948608137045
436.,503.6551724137931
439.,513.2776572668113
442.,523.0655021834061
445.,533.021978021978
448.,543.1504424778761
451.,553.4543429844098
454.,563.9372197309417
457.,574.6027088036118
460.,585.4545454545455
463.,596.4965675057208
466.,607.7327188940092
469.,619.1670533642691
472.,630.803738317757
475.,642.6470588235294
478.,654.7014218009479
481.,666.9713603818616
484.,679.4615384615385
487.,692.1767554479419
490.,705.1219512195122
493.,718.3022113022113
496.,731.7227722772277
499.,745.3890274314215
502.,759.3065326633166
505.,773.4810126582279
508.,787.9183673469388
511.,802.624678663239
514.,817.6062176165804
517.,832.8694516971279
520.,848.421052631579
523.,864.2679045092838
526.,880.4171122994652
529.,896.8760107816712
532.,913.6521739130435
535.,930.7534246575342
538.,948.1878453038674
541.,965.9637883008356
544.,984.0898876404494
547.,1002.5750708215297
550.,1021.4285714285714
553.,1040.6599423631123
556.,1060.2790697674418
559.,1080.2961876832844
562.,1100.7218934911243
565.,1121.5671641791046
568.,1142.8433734939758
571.,1164.562310030395
574.,1186.7361963190185
