n,c
445.,2.6916903321397703
446.,2.6965093538254874
447.,2.701354628106928
448.,2.7062262958280656
449.,2.7111244993802437
450.,2.7160493827160495
451.,2.721001091363414
452.,2.7259797724399495
453.,2.7309855746675162
454.,2.736018648387033
455.,2.7410791455735275
456.,2.74616721985143
457.,2.7512830265101185
458.,2.75642672251971
459.,2.7615984665471127
460.,2.766798418972332
461.,2.7720267419050395
462.,2.7772835992014073
463.,2.7825691564812116
464.,2.7878835811452074
465.,2.793227042392782
466.,2.7985997112398886
467.,2.8040017605372607
468.,2.8094333649889207
469.,2.8148947011709766
470.,2.8203859475507174
471.,2.8259072845060107
472.,2.8314588943450025
473.,2.837040961326131
474.,2.842653671678453
475.,2.848297213622291
476.,2.8539717773902016
477.,2.8596775552482767
478.,2.8654147415177773
479.,2.871183532597107
480.,2.876984126984127
481.,2.8828167252988255
482.,2.8886815303063393
483.,2.894578746940336
484.,2.900508582326764
485.,2.9064712458079742
486.,2.9124669489672175
487.,2.918495905653529
488.,2.924558332007003
489.,2.9306544464844584
490.,2.9367844698855152
491.,2.942948625379073
492.,2.949147138530209
493.,2.955380237327499
494.,2.9616481522107656
495.,2.967951116099264
496.,2.974289364420313
497.,2.9806631351383737
498.,2.987072668784591
499.,2.993518208486799
500.,3.
501.,3.0065182917373274
502.,3.0130733348014975
503.,3.019665383016761
504.,3.0262946929613594
505.,3.0329615240005015
506.,3.0396661383198573
507.,3.0464088009595938
508.,3.0531897798489473
509.,3.060009345841352
510.,3.066867772750126
511.,3.073765337384734
512.,3.080702319587629
513.,3.0876790022716856
514.,3.0946956714582368
515.,3.101752616315723
516.,3.1088501291989665
517.,3.115988505689078
518.,3.123168044634013
519.,3.1303890481897856
520.,3.1376518218623484
521.,3.14495667455016
522.,3.1523039185874433
523.,3.1596938697881534
524.,3.167126847490661
525.,3.1746031746031744
526.,3.1821231776499053
527.,3.1896871868179946
528.,3.1972955360052135
529.,3.2049485628684544
530.,3.212646608873024
531.,3.2203900193427546
532.,3.2281791435109515
533.,3.236014334572187
534.,3.2438959497349624
535.,3.251824350275253
536.,3.2597999015909465
537.,3.267822973257204
538.,3.2758939390827497
539.,3.2840131771671146
540.,3.292181069958848
541.,3.300398004314717
542.,3.308664371559917
543.,3.316980567549303
544.,3.325346992729676
545.,3.333764052203127
546.,3.342232155791478
547.,3.3507517181018276
548.,3.3593231585932317
549.,3.3679469016445336
550.,3.3766233766233764
551.,3.3853530179564117
552.,3.394136265200733
553.,3.402973563116561
554.,3.411865361741199
555.,3.4208121164642904
556.,3.4298142881044003
557.,3.438872342986951
558.,3.4479867530235384
559.,3.4571579957926546
560.,3.466386554621849
561.,3.475672918671357
562.,3.4850175830192254
563.,3.4944210487479643
564.,3.5038838230327594
565.,3.513406419231277
566.,3.5229893569750956
567.,3.532633162262792
568.,3.5423383675547258
569.,3.5521055118695544
570.,3.5619351408825093
571.,3.571827807025482
572.,3.581784069588948
573.,3.5918044948257735
574.,3.601889656056946
575.,3.612040133779264
576.,3.6222565157750344
577.,3.632539397223817
578.,3.642889380816265
579.,3.6533070768701004
580.,3.663793103448276
581.,3.67434808647937
582.,3.6849726598802652
583.,3.6956674656811552
584.,3.706433154152939
585.,3.7172703839370507
