c,Err_koff
0.40800000000000003,0.4217374117647061
0.41000000000000003,0.420276292682928
0.41200000000000003,0.4188293592233003
0.41400000000000003,0.417396405797101
0.41600000000000004,0.4159772307692311
0.41800000000000004,0.41457163636363653
0.42,0.4131794285714294
0.422,0.41180041706161263
0.424,0.41043441509434064
0.426,0.40908123943662156
0.428,0.4077407102803741
0.43,0.40641265116279074
0.432,0.40509688888888873
0.434,0.40379325345622175
0.436,0.4025015779816514
0.438,0.4012216986301374
0.44,0.3999534545454539
0.442,0.3986966877828057
0.444,0.39745124324324305
0.446,0.3962169686098658
0.448,0.39499371428571445
0.45,0.3937813333333335
0.452,0.3925796814159293
0.454,0.3913886167400884
0.456,0.39020800000000067
0.458,0.3890376943231438
0.46,0.3878775652173914
0.462,0.38672748051948047
0.464,0.3855873103448271
