n,x
897.5,8.75609756097561
898.,8.803921568627452
898.5,8.852216748768473
899.,8.900990099009901
899.5,8.950248756218905
900.,9.
900.5,9.050251256281408
901.,9.101010101010102
901.5,9.15228426395939
902.,9.204081632653061
902.5,9.256410256410257
903.,9.309278350515465
903.5,9.362694300518134
904.,9.416666666666666
904.5,9.471204188481677
905.,9.526315789473683
905.5,9.582010582010582
906.,9.638297872340425
906.5,9.695187165775401
907.,9.752688172043012
907.5,9.81081081081081
908.,9.869565217391305
908.5,9.92896174863388
909.,9.989010989010989
909.5,10.049723756906078
910.,10.11111111111111
910.5,10.1731843575419
911.,10.235955056179774
911.5,10.299435028248588
912.,10.363636363636363
912.5,10.428571428571429
913.,10.494252873563218
913.5,10.560693641618496
914.,10.627906976744185
914.5,10.695906432748538
915.,10.76470588235294
915.5,10.834319526627219
916.,10.904761904761903
916.5,10.976047904191617
917.,11.048192771084338
917.5,11.121212121212121
918.,11.195121951219512
918.5,11.269938650306749
919.,11.345679012345679
919.5,11.422360248447204
920.,11.5
920.5,11.578616352201259
921.,11.658227848101266
921.5,11.738853503184714
922.,11.82051282051282
922.5,11.903225806451612
923.,11.987012987012989
923.5,12.071895424836601
924.,12.157894736842104
924.5,12.245033112582782
925.,12.333333333333334
925.5,12.422818791946309
926.,12.513513513513514
926.5,12.605442176870747
927.,12.698630136986301
927.5,12.793103448275861
928.,12.888888888888888
928.5,12.986013986013987
929.,13.084507042253522
929.5,13.184397163120567
930.,13.285714285714285
930.5,13.388489208633095
931.,13.492753623188406
931.5,13.598540145985401
932.,13.705882352941176
932.5,13.814814814814815
933.,13.925373134328359
933.5,14.037593984962406
934.,14.151515151515152
934.5,14.267175572519083
935.,14.384615384615385
935.5,14.503875968992247
936.,14.625
936.5,14.748031496062993
937.,14.873015873015872
937.5,15.
938.,15.129032258064516
938.5,15.260162601626018
939.,15.39344262295082
939.5,15.52892561983471
940.,15.666666666666666
940.5,15.80672268907563
941.,15.94915254237288
941.5,16.094017094017097
942.,16.241379310344826
942.5,16.391304347826086
943.,16.543859649122805
943.5,16.699115044247787
944.,16.857142857142858
944.5,17.01801801801802
945.,17.18181818181818
945.5,17.34862385321101
946.,17.51851851851852
946.5,17.69158878504673
947.,17.867924528301884
947.5,18.04761904761905
948.,18.230769230769234
948.5,18.41747572815534
949.,18.607843137254903
949.5,18.801980198019802
950.,19.
950.5,19.202020202020204
951.,19.408163265306122
951.5,19.61855670103093
952.,19.833333333333332
952.5,20.052631578947366
953.,20.27659574468085
953.5,20.505376344086024
954.,20.73913043478261
954.5,20.978021978021978
955.,21.22222222222222
955.5,21.47191011235955
956.,21.727272727272727
956.5,21.988505747126435
957.,22.25581395348837
957.5,22.52941176470588
958.,22.809523809523807
958.5,23.096385542168676
959.,23.390243902439025
959.5,23.691358024691358
960.,24.
960.5,24.31645569620253
961.,24.64102564102564
961.5,24.974025974025977
962.,25.31578947368421
962.5,25.666666666666668
963.,26.027027027027028
963.5,26.397260273972602
964.,26.777777777777775
964.5,27.169014084507044
965.,27.57142857142857
965.5,27.985507246376812
966.,28.41176470588235
966.5,28.850746268656717
967.,29.303030303030305
967.5,29.76923076923077
968.,30.25
968.5,30.746031746031743
969.,31.258064516129032
969.5,31.78688524590164
970.,32.333333333333336
970.5,32.898305084745765
971.,33.48275862068965
971.5,34.08771929824561
972.,34.714285714285715
972.5,35.36363636363636
973.,36.03703703703704
973.5,36.73584905660377
974.,37.46153846153847
974.5,38.21568627450981
975.,39.
975.5,39.816326530612244
976.,40.666666666666664
976.5,41.5531914893617
977.,42.47826086956522
977.5,43.44444444444444
978.,44.45454545454545
978.5,45.51162790697674
979.,46.61904761904761
979.5,47.78048780487805
980.,49.
980.5,50.28205128205128
981.,51.63157894736842
981.5,53.054054054054056
982.,54.55555555555555
982.5,56.14285714285714
983.,57.8235294117647
983.5,59.60606060606061
984.,61.5
984.5,63.516129032258064
985.,65.66666666666667
985.5,67.9655172413793
986.,70.42857142857143
986.5,73.07407407407408
987.,75.92307692307693
987.5,79.
988.,82.33333333333333
988.5,85.95652173913044
989.,89.9090909090909
989.5,94.23809523809523
990.,99.
990.5,104.26315789473684
991.,110.1111111111111
991.5,116.6470588235294
992.,124.
992.5,132.33333333333334
993.,141.85714285714286
993.5,152.84615384615387
994.,165.66666666666666
994.5,180.8181818181818
995.,199.
995.5,221.2222222222222
996.,249.
996.5,284.7142857142857
997.,332.3333333333333
997.5,399.
998.,499.
998.5,665.6666666666666
999.,999.
999.5,1999.
1050.,-21.
1051.,-20.607843137254903
1052.,-20.23076923076923
1053.,-19.867924528301888
1054.,-19.51851851851852
1055.,-19.181818181818183
1056.,-18.857142857142858
1057.,-18.54385964912281
1058.,-18.24137931034483
1059.,-17.949152542372882
1060.,-17.666666666666668
1061.,-17.39344262295082
1062.,-17.129032258064516
1063.,-16.873015873015873
1064.,-16.625
1065.,-16.384615384615383
1066.,-16.151515151515152
1067.,-15.925373134328359
1068.,-15.705882352941176
1069.,-15.492753623188406
1070.,-15.285714285714286
1071.,-15.084507042253522
1072.,-14.88888888888889
1073.,-14.698630136986301
1074.,-14.513513513513514
1075.,-14.333333333333334
1076.,-14.157894736842104
1077.,-13.987012987012987
1078.,-13.820512820512821
1079.,-13.658227848101266
1080.,-13.5
1081.,-13.345679012345679
1082.,-13.195121951219512
1083.,-13.048192771084338
1084.,-12.904761904761905
1085.,-12.764705882352942
1086.,-12.627906976744185
1087.,-12.494252873563218
1088.,-12.363636363636363
1089.,-12.235955056179776
1090.,-12.11111111111111
1091.,-11.989010989010989
1092.,-11.869565217391305
1093.,-11.75268817204301
1094.,-11.638297872340425
1095.,-11.526315789473685
1096.,-11.416666666666666
1097.,-11.309278350515465
1098.,-11.204081632653061
1099.,-11.1010101010101
1100.,-11.
1101.,-10.900990099009901
1102.,-10.803921568627452
1103.,-10.70873786407767
1104.,-10.615384615384615
1105.,-10.523809523809524
1106.,-10.433962264150944
1107.,-10.345794392523365
1108.,-10.25925925925926
1109.,-10.174311926605505
1110.,-10.090909090909092
